FECHA;SUBSISTEMA;ENTIDAD;TIPO DE CREDITO;TIPO DE OPERACION;ESTADO DE LA OPERACION;PROVINCIA;CANTON;SECTOR;SUBSECTOR;ACTIVIDAD;NÚMERO DE OPERACIONES;MONTO OTORGADO
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;NOVADA;LOS RIOS;MOCACHE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;2;737649.29
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;NOVADA;GUAYAS;DURAN;ACTIVIDADES PROFESIONALES CIENTÍFICAS Y TÉCNICAS;OTRAS ACTIVIDADES PROFESIONALES CIENTÍFICAS Y TÉCNICAS NCP;ACTIVIDADES DE CONSULTORÍA AMBIENTAL;1;72937.5
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;GUAYAS;GUAYAQUIL;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;2;37056.44
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;ORIGINAL;LOJA;LOJA;ACTIVIDADES INMOBILIARIAS;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;COMPRA - VENTA ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS EDIFICIOS NO RESIDENCIALES INCLUSO SALAS DE EXPOSICIONES INSTALACIONES PARA ALMACENAJE CENTROS COMERCIALES Y TERRENOS INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS EN GENERAL POR MESES O POR AÑOS;1;28284.15
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;NOVADA;GUAYAS;DURAN;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ALIMENTOS BEBIDAS Y TABACO;VENTA AL POR MAYOR DE FRUTAS LEGUMBRES Y HORTALIZAS;3;1275104.9
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;GUAYAS;GUAYAQUIL;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA;TODAS LAS ACTIVIDADES DE TRANSPORTE DE CARGA POR CARRETERA INCLUIDO EN CAMIONETAS DE: TRONCOS GANADO TRANSPORTE REFRIGERADO CARGA PESADA CARGA A GRANEL INCLUIDO EL TRANSPORTE EN CAMIONES CISTERNA AUTOMÓVILES DESPERDICIOS Y MATERIALES DE DESECHO SIN RECOGIDA NI ELIMINACIÓN;2;37193.08
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;LOS RIOS;VENTANAS;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA;TODAS LAS ACTIVIDADES DE TRANSPORTE DE CARGA POR CARRETERA INCLUIDO EN CAMIONETAS DE: TRONCOS GANADO TRANSPORTE REFRIGERADO CARGA PESADA CARGA A GRANEL INCLUIDO EL TRANSPORTE EN CAMIONES CISTERNA AUTOMÓVILES DESPERDICIOS Y MATERIALES DE DESECHO SIN RECOGIDA NI ELIMINACIÓN;1;3863.81
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;REFINANCIADA;MANABI;JARAMIJO;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS CRUSTÁCEOS Y MOLUSCOS;PREPARACIÓN Y CONSERVACIÓN DE PESCADO CRUSTÁCEOS (EXCEPTO CAMARÓN Y LANGOSTINOS) Y OTROS MOLUSCOS MEDIANTE EL CONGELADO ULTRACONGELADO SECADO AHUMADO SALADO SUMERGIDO EN SALMUERA Y ENLATADO ETCÉTERA;1;14400587.24
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;GUAYAS;PEDRO CARBO;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;45478.66
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;2;62315.04
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;ORIGINAL;IMBABURA;ANTONIO ANTE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS;CULTIVO DE CAFÉ;1;733000
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;LOS RIOS;VALENCIA;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;19543.83
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;REFINANCIADA;TUNGURAHUA;AMBATO;INDUSTRIAS MANUFACTURERAS;CURTIDO Y ADOBO DE CUEROS ADOBO Y TEÑIDO DE PIELES;ACTIVIDADES DE DESCARNADURA TUNDIDO DEPILADO ENGRASE CURTIDO BLANQUEO TEÑIDO ADOBO DE PIELES Y CUEROS DE PIELES FINAS Y CUEROS CON PELO;1;1907246.75
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;BOLIVAR;GUARANDA;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;SERVICIOS DE ALOJAMIENTO PRESTADOS POR HOTELES HOTELES DE SUITES APART HOTELES COMPLEJOS TURÍSTICOS HOSTERÍAS;1;324024.22
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;NOVADA;MANABI;PEDERNALES;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;SERVICIOS DE ALOJAMIENTO PRESTADOS POR HOTELES HOTELES DE SUITES APART HOTELES COMPLEJOS TURÍSTICOS HOSTERÍAS;1;300000
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;ORIGINAL;PICHINCHA;QUITO;ACTIVIDADES FINANCIERAS Y DE SEGUROS;OTROS TIPOS DE INTERMEDIACIÓN MONETARIA;ACTIVIDADES DE RECEPCIÓN DE DEPÓSITOS Y/O SIMILARES CERCANOS DE DEPÓSITOS Y LA CONCESIÓN DE CRÉDITOS O PRÉSTAMOS DE FONDOS LA CONCESIÓN DE CRÉDITO PUEDE ADOPTAR DIVERSAS FORMAS COMO PRÉSTAMOS HIPOTECAS TRANSACCIONES CON TARJETAS DE CRÉDITO ETC ESAS ACTIVIDADES SON REALIZADAS POR BANCOS DIFERENTES DEL BANCO CENTRAL;2;100000000
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;NOVADA;LOS RIOS;MOCACHE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;1881783.81
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;MANABI;MANTA;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS CRUSTÁCEOS Y MOLUSCOS;PREPARACIÓN Y CONSERVACIÓN DE PESCADO CRUSTÁCEOS (EXCEPTO CAMARÓN Y LANGOSTINOS) Y OTROS MOLUSCOS MEDIANTE EL CONGELADO ULTRACONGELADO SECADO AHUMADO SALADO SUMERGIDO EN SALMUERA Y ENLATADO ETCÉTERA;1;620033.44
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;NOVADA;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;14521.5
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;LOJA;LOJA;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;45679.24
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;REESTRUCTURADA;CHIMBORAZO;RIOBAMBA;CONSTRUCCIÓN;CONSTRUCCIÓN DE EDIFICIOS;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES EDIFICIOS MULTIFAMILIARES INCLUSO EDIFICIOS DE ALTURAS ELEVADAS VIVIENDAS PARA ANCIANATOS CASAS PARA BENEFICENCIA ORFANATOS CÁRCELES CUARTELES CONVENTOS CASAS RELIGIOSAS INCLUYE REMODELACIÓN RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES;1;1697912.71
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;NOVADA;PICHINCHA;QUITO;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL;FABRICACIÓN DE ROPA INTERIOR Y ROPA DE DORMIR DE TELAS TEJIDAS DE PUNTO Y GANCHILLO DE ENCAJE ETCÉTERA PARA HOMBRES MUJERES Y NIÑOS: PANTIES CALZONCILLOS PIJAMAS CAMISONES BATAS BLUSAS SLIPS SUJETADORES FAJAS ETCÉTERA;2;378837.45
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;REESTRUCTURADA;SANTA ELENA;SALINAS;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;ACUICULTURA MARINA;EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS) CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN);1;1225800
31/08/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;GUAYAS;DURAN;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;25079.8
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;PICHINCHA;QUITO;CONSTRUCCIÓN;CONSTRUCCIÓN DE EDIFICIOS;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES EDIFICIOS MULTIFAMILIARES INCLUSO EDIFICIOS DE ALTURAS ELEVADAS VIVIENDAS PARA ANCIANATOS CASAS PARA BENEFICENCIA ORFANATOS CÁRCELES CUARTELES CONVENTOS CASAS RELIGIOSAS INCLUYE REMODELACIÓN RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES;1;554084.47
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;GUAYAS;SIMON BOLIVAR;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;87633.98
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;NOVADA;GUAYAS;GUAYAQUIL;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;42406.46
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;EL ORO;MACHALA;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA;TODAS LAS ACTIVIDADES DE TRANSPORTE DE CARGA POR CARRETERA INCLUIDO EN CAMIONETAS DE: TRONCOS GANADO TRANSPORTE REFRIGERADO CARGA PESADA CARGA A GRANEL INCLUIDO EL TRANSPORTE EN CAMIONES CISTERNA AUTOMÓVILES DESPERDICIOS Y MATERIALES DE DESECHO SIN RECOGIDA NI ELIMINACIÓN;1;16428.94
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;GUAYAS;GUAYAQUIL;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA;TODAS LAS ACTIVIDADES DE TRANSPORTE DE CARGA POR CARRETERA INCLUIDO EN CAMIONETAS DE: TRONCOS GANADO TRANSPORTE REFRIGERADO CARGA PESADA CARGA A GRANEL INCLUIDO EL TRANSPORTE EN CAMIONES CISTERNA AUTOMÓVILES DESPERDICIOS Y MATERIALES DE DESECHO SIN RECOGIDA NI ELIMINACIÓN;1;32118.43
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;GUAYAS;GUAYAQUIL;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;4;91761.59
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;REESTRUCTURADA;GUAYAS;GUAYAQUIL;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;26874.45
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;PICHINCHA;MEJIA;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;2;44525.35
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;NOVADA;GUAYAS;NARANJAL;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;1935185.18
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;REESTRUCTURADA;GUAYAS;GUAYAQUIL;TRANSPORTE Y ALMACENAMIENTO;OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VÍA TERRESTRE;SERVICIOS DE TAXIS;1;3567.52
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;REESTRUCTURADA;COTOPAXI;LA MANA;TRANSPORTE Y ALMACENAMIENTO;OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VÍA TERRESTRE;ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR CARRETERA: SERVICIOS REGULARES DE AUTOBUSES DE LARGA DISTANCIA SERVICIOS DE VIAJES CONTRATADOS EXCURSIONES Y OTROS SERVICIOS OCASIONALES DE TRANSPORTE EN AUTOBÚS TRICIMOTOS SERVICIOS DE ENLACE CON AEROPUERTOS;1;53685.76
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;REESTRUCTURADA;PICHINCHA;QUITO;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;2;75837.62
30/09/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;MORONA SANTIAGO;PALORA;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;SERVICIOS DE ALOJAMIENTO PRESTADOS POR HOTELES HOTELES DE SUITES APART HOTELES COMPLEJOS TURÍSTICOS HOSTERÍAS;1;338580.28
