escuela;sexo;edad;direccion;tam_fami;fam_estado;edu_madre;edu_padre;Mjob;Fjob;razon;tutor;tiempo_viaje;tiempo_estudio;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;salud;ausencias;G1;G2;G3
GP;mujer;15;urbano;GT3;juntos;4;4;teacher;teacher;course;mother;15 a 30 min;1;0;no;no;no;yes;yes;yes;yes;no;muy buena;medio;poco;1;1;muy buena;6;13;14;14
GP;;15;rural;GT3;juntos;1;1;other;other;course;mother;30 min a 1 hora;1;1;no;no;no;yes;yes;yes;yes;yes;excelente;muy alto;muy alto;1;1;muy mala;2;8;9;9
GP;hombre;15;urbano;GT3;juntos;4;3;teacher;services;course;father;15 a 30 min;4;0;yes;yes;no;no;yes;yes;yes;no;mala;poco;poco;1;1;regular;6;9;11;11
GP;mujer;15;urbano;GT3;separados;3;3;services;services;home;mother;menos de 15min;2;0;no;no;no;no;no;yes;no;yes;muy mala;medio;poco;2;3;muy mala;24;9;8;9
GP;hombre;16;urbano;GT3;juntos;4;4;services;services;course;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;no;excelente;medio;medio;1;3;muy buena;0;15;13;13
GP;hombre;16;urbano;LE3;juntos;2;2;services;services;reputation;father;15 a 30 min;1;0;no;yes;no;yes;yes;yes;yes;no;mala;medio;medio;2;2;mala;4;12;11;11
GP;mujer;15;urbano;GT3;juntos;4;4;teacher;services;course;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;no;muy buena;poco;poco;1;1;muy buena;2;13;13;13
GP;mujer;16;urbano;LE3;juntos;1;1;at_home;at_home;course;mother;menos de 15min;1;0;no;no;no;no;yes;yes;yes;no;buena;alto;alto;3;3;muy mala;4;10;11;11
GP;hombre;17;urbano;GT3;juntos;2;1;other;other;home;mother;menos de 15min;1;0;no;yes;no;no;yes;yes;yes;no;excelente;alto;muy alto;1;2;muy buena;22;9;7;6
GP;mujer;15;urbano;GT3;juntos;1;1;other;services;course;father;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;muy buena;alto;poco;1;2;muy buena;0;12;12;12
GP;mujer;15;urbano;LE3;separados;2;1;at_home;other;home;mother;15 a 30 min;1;0;no;yes;no;yes;yes;no;yes;yes;muy buena;alto;poco;1;1;muy buena;0;11;10;10
GP;mujer;15;urbano;GT3;juntos;3;2;health;services;home;father;menos de 15min;2;1;no;yes;no;no;yes;yes;yes;no;buena;medio;poco;1;1;regular;2;11;11;11
GP;mujer;15;urbano;GT3;juntos;1;2;at_home;other;course;mother;menos de 15min;2;0;no;yes;no;no;no;yes;yes;no;muy buena;medio;poco;1;1;muy buena;6;13;12;13
GP;mujer;15;urbano;GT3;juntos;1;2;at_home;services;course;father;menos de 15min;2;0;no;no;no;no;no;yes;no;yes;mala;medio;alto;2;4;muy mala;6;11;11;11
GP;hombre;16;urbano;GT3;juntos;4;4;teacher;teacher;course;mother;menos de 15min;1;0;no;yes;no;no;yes;no;yes;yes;buena;medio;poco;2;1;muy buena;16;9;9;8
GP;hombre;15;urbano;LE3;separados;2;1;services;other;course;mother;mas de 1 hora;1;0;no;no;no;no;yes;yes;yes;no;muy buena;muy alto;muy alto;2;5;muy buena;0;12;11;11
GP;hombre;18;urbano;LE3;juntos;;1;other;other;course;mother;menos de 15min;1;2;no;no;no;no;yes;no;yes;yes;mala;medio;muy alto;2;5;buena;0;11;9;0
GP;hombre;16;urbano;;juntos;2;1;at_home;other;course;mother;menos de 15min;1;1;no;no;no;yes;yes;yes;no;yes;muy buena;alto;alto;3;5;muy buena;6;9;10;10
GP;mujer;15;rural;GT3;juntos;3;3;services;services;reputation;other;15 a 30 min;3;0;no;yes;yes;yes;yes;yes;yes;yes;muy buena;poco;muy poco;2;3;regular;2;13;13;13
GP;hombre;19;urbano;GT3;juntos;3;2;services;at_home;home;mother;menos de 15min;1;0;no;yes;no;no;yes;no;yes;yes;muy buena;muy alto;alto;1;1;buena;6;11;9;11
GP;mujer;17;urbano;GT3;juntos;4;4;other;teacher;course;mother;menos de 15min;1;0;yes;yes;no;no;yes;yes;no;yes;muy buena;poco;muy poco;1;1;buena;0;13;13;13
GP;hombre;15;rural;GT3;juntos;2;3;at_home;services;course;mother;menos de 15min;2;0;yes;no;yes;yes;yes;yes;no;no;muy buena;alto;alto;1;1;muy mala;0;7;8;8
GP;hombre;17;rural;LE3;juntos;1;2;other;other;reputation;mother;menos de 15min;1;3;no;no;no;no;yes;yes;no;no;mala;poco;poco;3;3;muy buena;14;9;8;10
GP;mujer;18;rural;GT3;juntos;1;1;at_home;other;course;mother;30 min a 1 hora;1;3;no;yes;no;yes;no;yes;no;no;excelente;poco;muy alto;1;5;buena;6;11;10;11
GP;hombre;16;rural;GT3;juntos;2;2;at_home;other;course;mother;30 min a 1 hora;1;0;no;no;no;no;no;yes;no;no;muy buena;poco;poco;1;2;regular;4;12;10;11
GP;hombre;16;urbano;GT3;juntos;3;3;other;services;course;father;menos de 15min;2;1;no;yes;no;no;yes;yes;yes;yes;muy buena;muy alto;muy alto;4;4;muy buena;0;10;10;1
GP;hombre;16;urbano;LE3;juntos;1;2;health;services;course;mother;15 a 30 min;1;2;no;no;no;no;no;yes;yes;no;muy buena;alto;muy alto;3;5;muy buena;0;9;8;10
GP;hombre;17;rural;LE3;juntos;2;1;at_home;other;course;mother;15 a 30 min;1;1;no;no;yes;yes;yes;no;yes;yes;buena;medio;poco;2;2;muy buena;8;8;8;9
GP;hombre;17;rural;GT3;juntos;3;2;other;other;course;mother;15 a 30 min;2;2;yes;yes;no;no;yes;yes;yes;yes;muy buena;alto;alto;1;4;regular;4;7;6;8
GP;hombre;15;urbano;LE3;juntos;1;2;other;other;course;mother;15 a 30 min;1;0;no;no;no;yes;yes;yes;no;no;muy buena;alto;alto;2;4;muy buena;2;8;9;10
GP;hombre;16;urbano;GT3;juntos;1;3;at_home;services;course;father;menos de 15min;1;1;no;no;no;no;yes;no;yes;no;excelente;medio;medio;1;4;mala;2;9;8;8
GP;hombre;17;rural;LE3;juntos;1;1;other;services;course;mother;mas de 1 hora;2;0;no;no;no;yes;yes;no;no;yes;excelente;medio;muy alto;1;5;muy buena;0;8;8;8
GP;hombre;17;urbano;GT3;juntos;3;2;services;services;course;mother;15 a 30 min;1;3;no;yes;no;yes;no;no;no;no;muy buena;muy alto;poco;1;1;mala;10;8;7;8
GP;hombre;16;urbano;GT3;juntos;2;2;other;other;course;father;menos de 15min;2;0;no;no;no;no;yes;no;yes;no;muy buena;medio;muy alto;2;4;buena;0;9;10;11
GP;mujer;16;urbano;GT3;juntos;4;2;health;services;home;father;menos de 15min;2;0;no;no;no;no;yes;yes;yes;yes;muy buena;poco;medio;1;1;regular;0;17;17;18
GP;mujer;16;urbano;GT3;juntos;2;2;other;other;home;mother;menos de 15min;2;0;no;yes;no;no;no;yes;yes;no;excelente;muy poco;muy alto;1;1;buena;0;12;12;13
GP;mujer;16;urbano;GT3;juntos;4;4;health;health;reputation;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;yes;muy buena;alto;poco;1;1;regular;0;16;16;17
GP;hombre;16;urbano;GT3;juntos;3;4;;other;course;father;30 min a 1 hora;1;1;no;yes;no;yes;no;yes;yes;no;buena;alto;muy alto;2;4;mala;4;9;9;10
GP;hombre;16;urbano;GT3;juntos;1;0;other;other;reputation;mother;15 a 30 min;2;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;medio;poco;1;1;regular;0;16;17;18
GP;hombre;17;urbano;LE3;juntos;4;4;teacher;other;reputation;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;alto;alto;1;3;muy buena;0;11;9;10
GP;mujer;16;urbano;GT3;juntos;1;3;at_home;services;home;mother;menos de 15min;2;0;no;no;no;yes;no;yes;yes;yes;muy buena;medio;muy alto;1;1;regular;0;14;13;13
GP;mujer;16;urbano;LE3;juntos;3;3;other;other;reputation;mother;15 a 30 min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;alto;muy alto;1;1;;0;14;14;15
GP;hombre;17;urbano;LE3;juntos;4;3;teacher;other;course;mother;15 a 30 min;2;0;no;no;no;yes;yes;yes;yes;no;muy buena;alto;alto;4;4;buena;0;10;11;11
GP;mujer;16;urbano;GT3;juntos;2;2;services;other;reputation;mother;15 a 30 min;2;0;no;no;no;yes;no;yes;yes;no;buena;alto;alto;1;4;muy buena;0;13;12;14
GP;hombre;17;urbano;GT3;juntos;3;3;other;other;reputation;father;menos de 15min;2;0;no;no;no;yes;no;yes;yes;no;muy buena;medio;alto;1;4;buena;4;11;9;10
GP;hombre;16;rural;GT3;juntos;4;2;teacher;services;other;mother;menos de 15min;1;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;medio;medio;3;4;regular;8;10;9;11
GP;hombre;17;urbano;GT3;juntos;4;3;other;;;mother;menos de 15min;2;0;no;yes;yes;yes;yes;yes;yes;yes;excelente;poco;medio;1;1;mala;4;11;11;13
GP;hombre;16;urbano;GT3;juntos;4;3;teacher;other;home;mother;menos de 15min;2;0;no;yes;yes;yes;yes;yes;yes;no;buena;alto;;2;3;regular;4;11;10;11
GP;hombre;16;urbano;GT3;juntos;3;3;services;other;home;mother;;2;0;no;no;no;yes;yes;yes;yes;yes;muy buena;poco;medio;1;2;regular;0;11;12;13
GP;mujer;17;urbano;GT3;juntos;2;4;services;services;reputation;;menos de 15min;2;0;no;yes;no;yes;yes;yes;no;no;excelente;alto;poco;2;3;muy buena;0;17;18;17
GP;mujer;17;urbano;LE3;juntos;3;3;other;other;reputation;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;yes;excelente;medio;medio;2;3;muy mala;32;14;13;14
GP;mujer;16;urbano;GT3;juntos;3;2;other;other;reputation;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;muy mala;poco;poco;1;2;muy mala;8;14;15;16
GP;hombre;17;urbano;GT3;juntos;3;3;services;services;other;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;;alto;2;3;buena;6;11;13;14
GP;hombre;16;urbano;GT3;juntos;1;2;services;services;other;mother;menos de 15min;1;0;no;yes;no;yes;yes;yes;yes;yes;buena;medio;medio;1;2;regular;0;10;9;11
GP;hombre;16;urbano;LE3;juntos;2;1;other;other;course;mother;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;yes;muy buena;poco;medio;1;2;muy buena;0;13;14;16
GP;mujer;17;urbano;GT3;separados;3;3;health;other;reputation;mother;menos de 15min;2;0;no;yes;no;no;no;yes;yes;yes;buena;medio;medio;1;3;regular;10;12;13;14
GP;hombre;17;rural;GT3;juntos;1;2;at_home;other;home;mother;menos de 15min;2;0;no;no;no;no;yes;yes;no;no;buena;muy poco;medio;1;5;regular;6;9;9;10
GP;mujer;16;urbano;GT3;juntos;2;3;services;services;course;mother;menos de 15min;2;0;no;no;no;no;yes;yes;yes;no;muy buena;medio;medio;1;1;mala;6;12;12;13
GP;mujer;17;urbano;GT3;juntos;1;1;at_home;services;course;mother;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;no;;medio;medio;1;1;regular;0;12;11;12
GP;hombre;17;urbano;GT3;juntos;1;2;at_home;services;other;other;15 a 30 min;2;0;no;no;no;yes;no;yes;yes;no;muy buena;alto;alto;4;5;muy buena;16;10;11;12
GP;hombre;16;rural;GT3;juntos;3;3;services;services;reputation;mother;menos de 15min;1;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;poco;3;4;muy buena;0;11;10;10
GP;hombre;16;urbano;GT3;juntos;2;3;other;other;home;father;15 a 30 min;1;0;no;no;no;no;yes;yes;yes;no;excelente;medio;medio;1;1;regular;0;13;12;12
GP;mujer;17;urbano;LE3;juntos;2;4;services;services;course;father;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;yes;muy buena;medio;poco;1;1;muy buena;8;14;15;16
GP;hombre;17;urbano;GT3;juntos;4;4;services;teacher;home;mother;menos de 15min;1;0;no;no;no;no;yes;yes;yes;no;excelente;poco;medio;1;2;muy buena;4;13;13;14
GP;hombre;16;rural;LE3;juntos;3;3;teacher;other;home;father;30 min a 1 hora;1;0;no;yes;no;yes;yes;yes;yes;no;buena;medio;alto;3;5;regular;16;10;11;12
GP;mujer;17;urbano;GT3;juntos;4;4;services;teacher;home;mother;15 a 30 min;1;1;no;yes;no;no;yes;yes;yes;no;muy buena;poco;alto;2;3;mala;30;14;15;16
GP;mujer;16;urbano;LE3;juntos;4;4;teacher;teacher;reputation;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;muy buena;muy alto;poco;1;2;regular;0;11;10;11
GP;mujer;16;urbano;GT3;juntos;4;3;health;other;home;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;muy alto;1;5;mala;2;14;14;15
GP;mujer;16;urbano;GT3;juntos;2;3;other;other;reputation;mother;menos de 15min;2;0;yes;yes;no;yes;yes;yes;no;no;muy buena;alto;medio;1;3;buena;4;11;12;12
GP;mujer;17;urbano;GT3;juntos;1;1;other;other;course;mother;menos de 15min;2;0;no;yes;no;no;no;yes;no;no;muy buena;alto;alto;1;3;muy mala;0;14;15;15
GP;mujer;17;rural;GT3;juntos;2;2;other;other;reputation;mother;menos de 15min;1;0;no;yes;no;no;yes;yes;yes;no;excelente;medio;poco;1;2;regular;21;13;13;13
GP;mujer;16;rural;GT3;juntos;2;2;services;services;reputation;mother;15 a 30 min;4;0;no;yes;no;yes;no;yes;yes;no;excelente;medio;muy alto;1;1;muy buena;6;13;13;13
GP;mujer;17;urbano;GT3;juntos;3;4;at_home;services;home;mother;menos de 15min;3;1;no;yes;yes;no;yes;yes;yes;yes;muy buena;alto;medio;3;4;muy buena;14;8;9;8
GP;mujer;16;urbano;GT3;separados;3;1;services;other;course;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;mala;medio;medio;2;2;buena;2;11;11;12
GP;mujer;16;urbano;GT3;juntos;4;3;teacher;other;other;mother;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;yes;muy mala;medio;poco;1;1;muy mala;4;14;15;15
GP;mujer;16;urbano;GT3;juntos;1;1;at_home;other;home;mother;15 a 30 min;1;0;no;yes;no;no;yes;yes;no;no;muy buena;medio;poco;1;4;muy buena;2;12;13;13
GP;mujer;17;rural;GT3;juntos;4;3;teacher;other;reputation;mother;15 a 30 min;3;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;alto;poco;1;1;buena;0;11;12;12
GP;mujer;19;urbano;GT3;juntos;3;3;other;other;reputation;other;menos de 15min;4;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;medio;1;2;regular;4;12;12;12
GP;hombre;17;urbano;LE3;juntos;4;4;services;other;home;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;yes;excelente;medio;muy alto;4;5;regular;15;13;12;12
GP;mujer;16;urbano;GT3;separados;2;2;other;other;reputation;mother;menos de 15min;2;0;yes;yes;no;no;yes;yes;yes;no;buena;medio;alto;1;1;buena;0;13;13;13
GP;hombre;18;urbano;GT3;juntos;2;2;services;other;home;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;;alto;alto;2;4;muy buena;10;12;11;11
GP;mujer;17;rural;LE3;juntos;4;4;services;other;other;mother;menos de 15min;1;0;no;yes;no;no;yes;yes;no;no;excelente;poco;muy poco;1;2;regular;6;12;11;11
GP;mujer;17;urbano;LE3;juntos;3;2;other;other;reputation;mother;15 a 30 min;2;0;no;no;no;no;yes;yes;yes;no;muy buena;alto;alto;1;3;muy mala;2;14;16;15
GP;mujer;17;urbano;GT3;juntos;4;3;other;other;reputation;mother;menos de 15min;2;0;no;no;no;no;yes;yes;yes;yes;buena;alto;muy alto;2;4;muy mala;16;11;9;10
GP;hombre;18;urbano;LE3;juntos;3;3;services;health;home;father;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;buena;poco;alto;2;4;buena;10;10;10;10
GP;mujer;17;urbano;GT3;juntos;2;3;at_home;other;home;father;15 a 30 min;1;0;no;yes;no;no;yes;yes;no;no;buena;medio;medio;1;4;regular;4;12;13;13
GP;mujer;17;urbano;GT3;juntos;2;2;at_home;at_home;course;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;no;muy buena;;medio;1;1;buena;0;12;12;13
GP;mujer;17;rural;GT3;juntos;2;1;at_home;services;reputation;mother;15 a 30 min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;poco;muy alto;1;2;muy buena;0;11;10;11
GP;mujer;17;urbano;GT3;juntos;1;1;at_home;other;reputation;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;no;yes;muy buena;medio;;1;1;muy buena;12;12;12;12
GP;mujer;16;urbano;GT3;juntos;2;3;services;teacher;other;mother;menos de 15min;2;0;yes;no;no;no;yes;yes;yes;no;mala;medio;muy poco;1;1;regular;0;13;13;14
GP;hombre;18;urbano;GT3;juntos;2;2;other;other;home;mother;15 a 30 min;2;3;no;yes;yes;no;yes;yes;yes;no;buena;medio;medio;5;5;buena;9;10;9;10
GP;mujer;16;urbano;GT3;juntos;4;4;teacher;services;home;mother;menos de 15min;3;0;no;yes;no;yes;no;yes;yes;no;excelente;medio;poco;1;1;muy buena;4;15;16;16
GP;mujer;18;rural;GT3;juntos;3;1;other;other;reputation;mother;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;yes;excelente;medio;medio;1;1;buena;4;8;8;8
GP;mujer;17;urbano;GT3;juntos;3;2;other;other;course;mother;menos de 15min;2;0;no;no;no;yes;no;yes;yes;no;excelente;medio;alto;1;3;regular;2;17;18;17
GP;hombre;17;urbano;LE3;juntos;2;3;services;services;reputation;father;menos de 15min;2;0;no;yes;no;no;no;yes;yes;no;excelente;medio;medio;1;3;;0;10;11;11
GP;hombre;18;urbano;LE3;juntos;2;1;at_home;other;course;mother;mas de 1 hora;2;0;yes;yes;no;yes;yes;yes;yes;yes;muy buena;medio;poco;4;5;regular;2;9;10;11
GP;mujer;17;urbano;GT3;separados;2;1;other;other;course;mother;15 a 30 min;3;0;no;no;no;yes;yes;yes;yes;yes;buena;poco;medio;1;2;regular;0;15;15;16
GP;mujer;17;urbano;LE3;juntos;4;3;health;other;reputation;father;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;yes;buena;poco;medio;1;2;regular;0;14;12;12
GP;hombre;17;rural;GT3;juntos;2;2;other;other;course;father;15 a 30 min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;muy alto;poco;1;1;muy mala;0;12;13;13
GP;hombre;17;urbano;GT3;juntos;4;4;teacher;teacher;reputation;mother;menos de 15min;2;0;yes;yes;no;yes;yes;yes;yes;yes;muy buena;muy alto;muy alto;1;3;mala;0;13;13;13
GP;hombre;16;urbano;GT3;juntos;4;4;health;other;reputation;father;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;poco;alto;2;4;muy mala;0;13;13;14
GP;hombre;16;urbano;LE3;juntos;1;1;other;other;home;mother;15 a 30 min;2;0;no;yes;no;no;yes;yes;yes;no;buena;alto;poco;1;1;muy buena;2;9;9;9
GP;hombre;16;urbano;GT3;juntos;3;2;at_home;other;reputation;mother;15 a 30 min;3;0;no;no;no;yes;yes;yes;yes;yes;excelente;medio;medio;1;3;mala;0;12;12;12
GP;hombre;17;urbano;LE3;juntos;;2;other;other;home;father;menos de 15min;2;0;no;no;no;yes;no;yes;yes;yes;muy buena;alto;poco;5;5;buena;0;16;16;16
GP;mujer;16;urbano;GT3;juntos;2;1;other;other;home;mother;menos de 15min;1;0;no;no;no;no;yes;yes;yes;yes;muy buena;muy alto;poco;1;1;muy buena;4;9;10;10
GP;mujer;16;urbano;GT3;separados;4;1;other;other;home;mother;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;yes;excelente;medio;medio;1;2;muy buena;0;14;13;13
GP;mujer;18;urbano;LE3;separados;2;4;services;other;course;mother;15 a 30 min;2;1;no;yes;no;no;yes;yes;yes;no;muy buena;medio;medio;1;1;regular;18;10;10;10
GP;mujer;18;urbano;LE3;juntos;2;2;at_home;services;course;mother;menos de 15min;2;1;no;yes;no;no;no;yes;yes;yes;excelente;medio;muy poco;1;1;muy buena;16;9;8;10
GP;mujer;18;urbano;GT3;juntos;3;3;other;other;course;mother;15 a 30 min;1;1;no;no;no;no;yes;no;yes;no;muy buena;muy poco;muy poco;1;1;regular;14;8;7;7
GP;hombre;18;urbano;GT3;juntos;2;2;other;at_home;course;other;menos de 15min;1;1;no;yes;no;yes;no;no;yes;yes;muy buena;alto;medio;2;2;muy mala;26;7;8;8
GP;hombre;17;urbano;GT3;juntos;4;4;teacher;teacher;course;mother;menos de 15min;1;0;no;yes;no;yes;no;yes;yes;no;muy buena;poco;muy poco;1;2;muy buena;6;10;8;9
GP;mujer;17;urbano;GT3;juntos;3;2;other;other;course;father;menos de 15min;2;0;no;no;no;yes;yes;yes;no;no;excelente;alto;poco;1;1;regular;4;14;14;15
GP;mujer;17;urbano;LE3;juntos;1;1;at_home;at_home;course;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;medio;poco;1;2;buena;10;11;10;10
GP;mujer;16;urbano;GT3;juntos;1;2;other;other;course;mother;menos de 15min;1;0;no;no;no;no;yes;no;yes;no;excelente;medio;muy alto;1;2;muy buena;4;12;11;11
GP;mujer;17;rural;GT3;juntos;2;1;at_home;services;course;mother;30 min a 1 hora;2;0;no;no;no;yes;yes;yes;no;no;mala;muy poco;muy poco;1;1;regular;2;13;13;13
GP;mujer;17;rural;LE3;separados;1;4;other;other;course;other;mas de 1 hora;1;1;no;yes;no;no;yes;yes;yes;no;excelente;muy alto;alto;1;1;muy buena;14;9;9;8
GP;hombre;18;urbano;GT3;juntos;2;2;other;;reputation;father;menos de 15min;2;0;no;no;no;no;yes;no;yes;no;excelente;muy alto;alto;3;5;mala;16;8;7;8
GP;mujer;17;urbano;LE3;separados;2;2;;other;home;mother;menos de 15min;1;1;no;yes;no;no;no;no;yes;no;buena;muy poco;poco;1;1;muy mala;8;11;9;10
GP;mujer;17;rural;LE3;juntos;1;1;at_home;other;course;mother;15 a 30 min;3;0;no;no;no;yes;yes;yes;yes;no;muy buena;medio;medio;1;3;muy buena;4;15;14;15
GP;mujer;17;urbano;LE3;separados;4;2;teacher;other;course;;;2;0;no;yes;no;yes;yes;yes;no;no;muy buena;medio;poco;1;1;buena;4;15;14;14
GP;hombre;17;urbano;LE3;juntos;4;3;health;other;course;mother;15 a 30 min;2;0;no;no;no;yes;yes;yes;yes;yes;mala;muy alto;muy alto;1;4;muy buena;8;15;15;15
GP;hombre;17;rural;LE3;separados;4;4;teacher;other;;mother;15 a 30 min;2;0;no;yes;no;no;yes;yes;yes;no;buena;medio;medio;2;3;buena;0;12;12;12
GP;hombre;16;urbano;LE3;juntos;4;3;teacher;other;course;mother;menos de 15min;1;0;no;no;no;yes;no;yes;yes;no;excelente;alto;muy alto;1;1;;7;14;14;15
GP;hombre;16;urbano;GT3;juntos;4;4;services;services;course;mother;menos de 15min;1;0;no;no;yes;yes;yes;yes;yes;no;excelente;medio;poco;1;2;muy buena;4;14;15;15
GP;mujer;17;urbano;GT3;juntos;4;4;teacher;services;course;mother;menos de 15min;2;0;no;yes;yes;no;yes;yes;yes;yes;excelente;medio;muy poco;1;4;muy buena;2;11;11;12
GP;hombre;17;rural;GT3;juntos;1;1;other;other;home;father;15 a 30 min;3;0;no;no;no;no;no;yes;yes;yes;muy buena;medio;medio;1;1;muy mala;2;13;14;15
GP;mujer;17;urbano;GT3;juntos;3;3;services;other;home;mother;15 a 30 min;3;0;no;yes;no;no;yes;yes;yes;yes;muy buena;poco;poco;2;3;muy buena;10;11;11;11
GP;mujer;17;urbano;GT3;juntos;1;1;at_home;other;course;mother;menos de 15min;2;0;yes;no;no;no;no;yes;no;yes;muy buena;medio;poco;1;1;buena;10;10;9;10
GP;mujer;18;urbano;GT3;juntos;2;1;other;other;course;other;15 a 30 min;3;0;no;yes;no;no;no;yes;yes;yes;muy buena;alto;alto;1;1;regular;10;12;10;11
GP;hombre;16;urbano;GT3;juntos;2;1;other;other;course;mother;30 min a 1 hora;1;0;no;no;no;no;yes;yes;yes;no;muy buena;medio;medio;1;1;buena;7;15;16;16
GP;mujer;17;urbano;GT3;juntos;1;1;other;services;course;father;menos de 15min;2;0;no;yes;no;no;yes;yes;no;no;muy buena;medio;alto;1;2;muy buena;4;11;10;11
GP;hombre;17;urbano;GT3;juntos;2;3;other;other;course;father;15 a 30 min;1;0;no;no;no;no;yes;yes;yes;no;excelente;poco;;1;1;mala;2;9;12;13
GP;hombre;22;urbano;GT3;juntos;3;1;services;services;other;mother;menos de 15min;1;3;no;no;no;no;no;no;yes;yes;excelente;alto;muy alto;5;5;muy mala;12;7;8;5
GP;hombre;18;rural;LE3;juntos;3;3;other;services;course;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;yes;muy buena;medio;medio;1;3;muy buena;8;10;9;10
GP;hombre;16;urbano;GT3;juntos;0;2;other;other;other;mother;menos de 15min;1;0;no;no;no;no;no;yes;yes;no;muy buena;medio;poco;2;4;muy buena;0;11;12;11
GP;hombre;18;urbano;GT3;juntos;3;2;services;other;course;mother;15 a 30 min;1;0;no;no;no;no;yes;no;yes;no;muy buena;;muy alto;2;4;muy buena;8;7;8;7
GP;hombre;16;urbano;GT3;juntos;3;3;at_home;other;reputation;other;30 min a 1 hora;2;1;yes;yes;no;no;no;yes;yes;no;excelente;medio;medio;1;3;mala;4;9;11;10
GP;hombre;18;urbano;GT3;juntos;2;1;services;services;other;mother;menos de 15min;1;2;no;no;no;no;no;no;yes;no;buena;poco;muy alto;2;5;muy buena;4;7;8;6
GP;hombre;16;rural;GT3;juntos;2;1;other;other;course;mother;15 a 30 min;1;0;no;no;no;yes;no;yes;no;no;buena;medio;poco;1;3;regular;2;14;13;12
GP;hombre;17;rural;GT3;juntos;2;1;other;other;course;mother;menos de 15min;1;0;no;no;no;no;no;yes;yes;no;;alto;poco;2;4;muy buena;0;12;12;13
GP;hombre;17;urbano;LE3;juntos;1;1;health;other;course;mother;15 a 30 min;1;1;no;yes;no;yes;yes;yes;yes;no;muy buena;alto;alto;1;2;muy buena;0;9;10;10
GP;mujer;18;urbano;LE3;separados;2;1;other;other;course;mother;menos de 15min;2;0;no;yes;no;no;no;yes;yes;yes;muy buena;medio;alto;1;3;muy buena;2;12;12;13
GP;mujer;17;urbano;LE3;juntos;4;2;teacher;services;reputation;mother;menos de 15min;4;0;no;yes;no;yes;yes;yes;yes;no;muy buena;poco;medio;1;1;buena;2;14;15;17
GP;mujer;19;urbano;GT3;juntos;2;2;services;services;home;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;muy buena;medio;medio;1;1;muy buena;0;10;10;11
GP;hombre;18;urbano;LE3;juntos;2;1;services;other;course;mother;30 min a 1 hora;2;1;no;no;no;yes;no;no;yes;no;muy buena;alto;muy alto;4;4;muy buena;4;11;10;11
GP;mujer;17;rural;GT3;juntos;4;2;other;other;course;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;alto;1;3;muy buena;2;11;12;14
GP;mujer;18;urbano;LE3;juntos;1;1;other;at_home;home;mother;menos de 15min;3;0;no;yes;no;no;no;yes;no;no;muy buena;alto;medio;2;3;regular;4;11;12;14
GP;mujer;18;rural;GT3;juntos;2;2;other;other;home;mother;menos de 15min;2;0;yes;no;no;no;yes;yes;no;no;buena;poco;medio;1;1;muy buena;4;11;11;13
GP;hombre;19;urbano;LE3;separados;4;3;services;at_home;reputation;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;muy buena;medio;muy poco;1;1;muy mala;4;11;13;14
